Card-set,,Rarity,Card_name,Other names,Card type,Attribute,Types,Level,ATK / DEF,Rank,,,,,
Spell Ruler,,Common,House of Adhesive Tape,,Trap,,,,,,,,,,
The Shining Darkness,,Ultra Rare,Intercept Wave,,Spell,,,,,,,,,,
Maximum Gold,,Premium Gold Rare,Blue-Eyes White Dragon,,Monster,LIGHT,Dragon / Normal,8,3000 / 2500,,,,,,
Cyberdark Impact,,Common,Queen's Bodyguard,,Monster,EARTH,Warrior / Effect,4,1700 / 1200,,,,,,
Chaos Impact,,Rare,Overburst Dragon,,Monster,DARK,Dragon / Link / Effect,,,,,,,,
Rising Rampage,,Ultra Rare,Shaman of the Tenyi,,Monster,FIRE,Wyrm / Link / Effect,,,,,,,,
Stardust Overdrive,,Short Print,Moray of Greed,,Spell,,,,,,,,,,
The Dark Illusion,,Common,Metalfoes Silverd,,Monster,FIRE,Psychic / Pendulum / Normal,3,1700 / 100,,,,,,
Stardust Overdrive,,Common,Appointer of the Red Lotus,,Trap,,,,,,,,,,
Maximum Crisis ,,Common,Mild Turkey,,Monster,FIRE,Winged Beast / Pendulum / Normal,4,1000 / 2000,,,,,,
Stardust Overdrive,,Common,Bending Destiny,,Trap,,,,,,,,,,
Invasion: Vengeance,,Common,Sprite's Blessing,,Spell,,,,,,,,,,
Cybernetic Revolution,,Common,Cyber Archfiend,,Monster,DARK,Fiend / Effect,4,1000 / 2000,,,,,,
Battle of Chaos,,Common,Epsilon The Magnet Warrior,,Monster,EARTH,Rock / Effect,4,1300 / 1500,,,,,,
Pharaoh's Servant,,Rare,The Shallow Grave,,Spell,,,,,,,,,,
Dark Neostorm,,Common,World Legacy Cliffhanger,,Trap,,,,,,,,,,
Phantom Rage,,Secret Rare,Myutant Ultimus,,Monster,DARK,Psychic / Fusion / Effect,10,3500 / 3000,,,,,,
Abyss Rising,,Super Rare,Bubble Bringer,,Trap,,,,,,,,,,
Rising Rampage,,Secret Rare,Marincess Marbled Rock,,Monster,WATER,Cyberse / Link / Effect,,,,,,,,
Dark Crisis,,Super Rare,Terrorking Archfiend,,Monster,DARK,Fiend / Effect,4,2000 / 1500,,,,,,
Judgment of the Light,,Common,Brotherhood of the Fire Fist - Caribou,,Monster,FIRE,Beast-Warrior / Effect,4,1100 / 2000,,,,,,
The New Challengers,,Super Rare,Qliphort Helix,,Monster,EARTH,Machine / Pendulum / Effect,6,2400 / 1000,,,,,,
Judgment of the Light,,Common,Bujingi Turtle,,Monster,LIGHT,Beast / Effect,4,1700 / 1200,,,,,,
Lightning Overdrive,,Common,Terrors of the Underroot,,Trap,,,,,,,,,,
Raging Tempest,,Secret Rare,Sea Monster of Theseus,,Monster,WATER,Zombie / Fusion / Tuner,5,2200 / 1800,,,,,,
Soul Fusion,,Short Print,Two-for-One Team,,Monster,LIGHT,Warrior / Effect,2,1200 / 1200,,,,,,
Photon Shockwave,,Rare,Photon Booster,,Spell,,,,,,,,,,
Spell Ruler,,Common,Hungry Burger,,Monster,DARK,Warrior / Ritual,6,2000 / 1850,,,,,,
Pharaoh's Servant,,Common,World Suppression,,Trap,,,,,,,,,,
Dawn of Majesty,,Super Rare,Magikey Dragon - Andrabime,,Monster,WIND,Dragon / Fusion / Effect,8,2800 / 2000,,,,,,
Shadow Specters,,Common,Ghostrick Scare,,Trap,,,,,,,,,,
Dawn of Majesty,,Super Rare,Live☆Twin Sunny's Snitch,,Spell,,,,,,,,,,
Lord of the Tachyon Galaxy,,Super Rare,Fire Formation - Gyokkou,,Spell,,,,,,,,,,
Savage Strike,,Common,Neo Space Connector,,Monster,LIGHT,Warrior / Effect,4,800 / 1800,,,,,,
Rising Rampage,,Rare,"Tlakalel, His Malevolent Majesty",,Monster,DARK,Fiend / Effect,5,2400 / 1000,,,,,,
Ignition Assault,,Rare,Ancient Warriors Saga - Defense of Changban,,Trap,,,,,,,,,,
Legacy of the Valiant,,Super Rare,Ghostrick Mary,,Monster,DARK,Fiend / Effect,1,100 / 1600,,,,,,
Breakers of Shadow,,Rare,Arisen Gaia the Fierce Knight,,Monster,DARK,Warrior / Effect,7,2300 / 2100,,,,,,
Judgment of the Light,,Super Rare,Number C39: Utopia Ray Victory,,Monster,LIGHT,Warrior / Xyz / Effect,,2800 / 2500,5,,,,,
Flaming Eternity,,Common,Release Restraint,,Spell,,,,,,,,,,
Cybernetic Revolution,,Common,Pot of Generosity,,Spell,,,,,,,,,,
The Dark Illusion,,Rare,Tuning Gum,,Monster,DARK,Fiend / Tuner / Effect,1,400 / 1200,,,,,,
Ignition Assault,,Rare,Ancient Warriors - Valiant Zhang De,,Monster,WIND,Beast-Warrior / Effect,7,2700 / 900,,,,,,
Shining Victories,,Rare,Spirit of the Fall Wind,,Monster,WIND,Fairy / Effect,4,1800 / 900,,,,,,
The Duelist Genesis,,Super Rare,Unstable Evolution,,Spell,,,,,,,,,,
Cybernetic Horizon,,Rare,Paladin of Storm Dragon,,Monster,LIGHT,Cyberse / Ritual / Effect,4,1900 / 900,,,,,,
Circuit Break,,Rare,Hallohallo,,Monster,DARK,Fiend / Pendulum / Tuner / Normal,3,800 / 600,,,,,,
Flames of Destruction,,Rare,The Sanctified Darklord,,Trap,,,,,,,,,,
Legacy of Darkness,,Super Short Print,Otohime,,Monster,LIGHT,Spellcaster / Spirit,3,0 / 100,,,,,,
Primal Origin,,Common,Last Counter,,Trap,,,,,,,,,,
Power of the Duelist,,Super Rare,Ultimate Tyranno,,Monster,EARTH,Dinosaur / Effect,8,3000 / 2200,,,,,,
Strike of Neos,,Common,"Kahkki, Guerilla of Dark World",,Monster,DARK,Fiend / Effect,2,300 / 500,,,,,,
Elemental Energy,,Super Rare,Elemental HERO Bladedge,Elemental Hero Bladedge,Monster,EARTH,Warrior / Effect,7,2600 / 1800,,,,,,
Legacy of the Valiant,,Super Rare,Gravekeeper's Shaman,,Monster,DARK,Spellcaster / Effect,6,1500 / 1500,,,,,,
Return of the Duelist,,Rare,Madolche Tea Break,,Trap,,,,,,,,,,
Dawn of Majesty,,Ultra Rare,Magikey World,,Spell,,,,,,,,,,
Savage Strike,,Common,Cyberse Converter,,Monster,LIGHT,Cyberse / Effect,2,1000 / 1000,,,,,,
Flaming Eternity,,Common,Element Valkyrie,,Monster,LIGHT,Fairy / Effect,4,1500 / 1200,,,,,,
Dark Crisis,,Common,Guardian Elma,,Monster,WIND,Fairy / Effect,3,1300 / 1200,,,,,,
Stardust Overdrive,,Rare,Lord British Space Fighter,,Monster,LIGHT,Machine / Effect,4,1200 / 800,,,,,,
Shadow Specters,,Common,Ghostrick Mansion,,Spell,,,,,,,,,,
Ancient Sanctuary,,Rare,Theban Nightmare,,Monster,LIGHT,Fiend / Effect,4,1500 / 500,,,,,,
Dimension Force,,Common,Heroic Champion - Jarngreipr,,Monster,EARTH,Warrior / Xyz / Effect,,700 / 1800,1,,,,,
Cyberdark Impact,,Rare,Miraculous Rebirth,,Spell,,,,,,,,,,
Elemental Energy,,Rare,Rapid-Fire Magician,,Monster,DARK,Spellcaster / Effect,4,1600 / 1200,,,,,,
Lightning Overdrive,,Ultra Rare,Traptrix Cularia,,Monster,EARTH,Plant / Link / Effect,,,,,,,,
Return of the Duelist,,Common,Heroic Challenger - Spartan,,Monster,EARTH,Warrior / Effect,4,1600 / 1000,,,,,,
Duelist Alliance,,Super Rare,Hypnosister,,Monster,WIND,Psychic / Effect,4,1300 / 1400,,,,,,
Legend of Blue Eyes White Dragon,,Rare,Charubin the Fire Knight,,Monster,FIRE,Pyro / Fusion,3,1100 / 800,,,,,,
Dimension of Chaos,,Common,Majespecter Fox - Kyubi,,Monster,WIND,Spellcaster / Pendulum / Effect,4,1500 / 1000,,,,,,
Dark Neostorm,,Secret Rare,Gnomaterial,,Monster,EARTH,Fairy / Effect,1,0 / 1000,,,,,,
Legend of Blue Eyes White Dragon,,Super Short Print,Raise Body Heat,,Spell,,,,,,,,,,
Phantom Darkness,,Common,Chain Summoning,,Spell,,,,,,,,,,
Battle of Chaos,,Common,Dogmatikamacabre,,Spell,,,,,,,,,,
Absolute Powerforce,,Common,Shreddder,,Monster,EARTH,Machine / Effect,4,1600 / 1000,,,,,,
Crossroads of Chaos,,Rare,Iron Chain Repairman,,Monster,EARTH,Warrior / Effect,4,1600 / 1200,,,,,,
Dimension Force,,Secret Rare,Psychic End Punisher,,Monster,LIGHT,Psychic / Synchro / Effect,11,3500 / 3500,,,,,,
Spell Ruler,,Rare,Nimble Momonga,,Monster,EARTH,Beast / Effect,2,1000 / 100,,,,,,
Rise of the Duelist,,Super Rare,Revenge Rally,,Trap,,,,,,,,,,
Dark Crisis,,Common,Token Thanksgiving,,Spell,,,,,,,,,,
Clash of Rebellions,,Ultra Rare,Hi-Speedroid Kendama,Hyperspeedroid Dahma,Monster,WIND,Machine / Synchro / Effect,6,2200 / 1600,,,,,,
Judgment of the Light,,Secret Rare,World of Prophecy,,Monster,LIGHT,Spellcaster / Effect,9,2900 / 2400,,,,,,
Breakers of Shadow,,Common,Majespecter Sonics,,Spell,,,,,,,,,,
Pharaoh's Servant,,Common,Gust,,Trap,,,,,,,,,,
Stardust Overdrive,,Common,Wolf in Sheep's Clothing,,Trap,,,,,,,,,,
Metal Raiders,,Secret Rare,Thousand Dragon,,Monster,WIND,Dragon / Fusion,7,2400 / 2000,,,,,,
The Dark Illusion,,Common,Dark Magic Expanded,,Spell,,,,,,,,,,
Maximum Crisis ,,Common,Speedroid Maliciousmagnet,,Monster,WIND,Machine / Tuner / Effect,1,0 / 0,,,,,,
Light of Destruction,,Secret Rare,Fog King,,Monster,WATER,Spellcaster / Effect,7,0 / 0,,,,,,
Crossroads of Chaos,,Common,Iron Chain Snake,,Monster,EARTH,Reptile / Effect,3,800 / 1200,,,,,,
Lord of the Tachyon Galaxy,,Secret Rare,Totem Bird,,Monster,WIND,Winged Beast / Xyz / Effect,,1900 / 1400,3,,,,,
Flames of Destruction,,Ultra Rare,Elemental Training,,Trap,,,,,,,,,,
Elemental Energy,,Rare,Jack's Knight,,Monster,LIGHT,Warrior / Normal,5,1900 / 1000,,,,,,
Cybernetic Horizon,,Common,Dragunity Couse,,Monster,WIND,Dragon / Tuner / Effect,2,1000 / 200,,,,,,
Savage Strike,,Ultra Rare,Ghost Meets Girl - A Shiranui's Story,,Spell,,,,,,,,,,
Ignition Assault,,Rare,Earth Golem @Ignister,,Monster,EARTH,Cyberse / Fusion / Effect,7,2300 / 2000,,,,,,
Pharaonic Guardian,,Common,Souleater,,Monster,EARTH,Fish,4,1200 / 0,,,,,,
The Lost Millennium,,Rare,Spell-Stopping Statute,,Trap,,,,,,,,,,
Spell Ruler,,Common,Ryu-Ran,,Monster,FIRE,Dragon,7,2200 / 2600,,,,,,
Starstrike Blast,,Rare,Scrap Soldier,,Monster,EARTH,Warrior / Tuner,5,2100 / 700,,,,,,
The Duelist Genesis,,Rare,Handcuffs Dragon,,Monster,WIND,Dragon / Effect,5,1800 / 1800,,,,,,
Crossed Souls,,Rare,Yosenju Oyam,,Monster,WIND,Beast / Effect,6,? / ?,,,,,,
Soul Fusion,,Common,Dinowrestler Capaptera,,Monster,WIND,Dinosaur / Effect,3,1600 / 0,,,,,,
Circuit Break,,Common,Capacitor Stalker,,Monster,LIGHT,Cyberse / Effect,5,2000 / 1000,,,,,,
Crimson Crisis,,Common,Dark Tinker,,Monster,DARK,Fiend / Tuner,2,1000 / 1300,,,,,,
Pharaoh's Servant,,Common,Three-Headed Geedo,,Monster,DARK,Fiend,4,1200 / 1400,,,,,,
Crossed Souls,,Rare,Rank-Up-Magic Revolution Force,,Spell,,,,,,,,,,
Shining Victories,,Common,Dwarf Star Dragon Planeter,,Monster,LIGHT,Dragon / Effect,4,1700 / 1200,,,,,,
Flames of Destruction,,Secret Rare,Knightmare Corruptor Iblee,,Monster,DARK,Cyberse / Effect,2,0 / 0,,,,,,
Storm of Ragnarok,,Common,Legendary Six Samurai - Mizuho,,Monster,FIRE,Warrior / Effect,3,1600 / 1000,,,,,,
Cosmo Blazer,,Super Rare,Brotherhood of the Fire Fist - Swallow,,Monster,FIRE,Beast-Warrior / Effect,5,2000 / 800,,,,,,
Legacy of the Valiant,,Super Rare,Skill Prisoner,,Trap,,,,,,,,,,
Rising Rampage,,Common,Yosenju Sabu,,Monster,WIND,Beast-Warrior / Effect,4,1700 / 400,,,,,,
Extreme Force,,Common,Artifact Mjollnir,,Monster,LIGHT,Fairy / Effect,5,1300 / 1800,,,,,,
Dimension of Chaos,,Ultra Rare,Majespecter Tornado,,Trap,,,,,,,,,,
Primal Origin,,Super Rare,The Monarchs Erupt,,Trap,,,,,,,,,,
Legacy of Darkness,,Rare,The Warrior Returning Alive,,Spell,,,,,,,,,,
Legendary Duelists: Synchro Storm,,Common,Quill Pen of Gulldos,,Spell,,,,,,,,,,
Lord of the Tachyon Galaxy,,Common,Spellbook of Miracles,,Spell,,,,,,,,,,
Ignition Assault,,Ultra Rare,"Redbeard, the Plunder Patroll Matey",,Monster,WATER,Fiend / Effect,4,1000 / 1000,,,,,,
Phantom Darkness,,Common,Double Tag Team,,Trap,,,,,,,,,,
Tactical Evolution,,Common,Venom Serpent,,Monster,DARK,Reptile / Effect,4,1000 / 800,,,,,,
Chaos Impact,,Rare,Marincess Mandarin,,Monster,WATER,Cyberse / Effect,1,100 / 100,,,,,,
Tactical Evolution,,Super Rare,Zombie Master,,Monster,DARK,Zombie / Effect,4,1800 / 0,,,,,,
Clash of Rebellions,,Rare,Crystal Rose,,Monster,LIGHT,Rock / Effect,2,500 / 500,,,,,,
Dark Crisis,,Common,Non-Spellcasting Area,,Spell,,,,,,,,,,
Soul of the Duelist,,Common,Dark Factory of Mass Production,,Spell,,,,,,,,,,
The Duelist Genesis,,Rare,Fighting Spirit,,Spell,,,,,,,,,,
Raging Tempest,,Common,Majespecter Gust,,Trap,,,,,,,,,,
Photon Shockwave,,Common,Fish Rain,,Trap,,,,,,,,,,
Extreme Victory,,Common,TGX300,,Spell,,,,,,,,,,
Pharaonic Guardian,,Super Rare,Sasuke Samurai,,Monster,WIND,Warrior / Effect,2,500 / 800,,,,,,
Extreme Victory,,Common,TGX1-HL,,Spell,,,,,,,,,,
Ancient Sanctuary,,Super Rare,Emissary of the Afterlife,,Monster,DARK,Fiend / Effect,4,1600 / 600,,,,,,
Breakers of Shadow,,Super Rare,Dharma-Eye Magician,,Monster,LIGHT,Spellcaster / Pendulum / Effect,7,2000 / 2500,,,,,,
Dark Neostorm,,Secret Rare,Knightmare Incarnation Idlee,,Monster,DARK,Fairy / Effect,9,2100 / 2100,,,,,,
The Dark Illusion,,Common,Red Mirror,,Monster,FIRE,Fiend / Effect,1,0 / 0,,,,,,
Labyrinth of Nightmare,,Ultra Rare,United We Stand,,Spell,,,,,,,,,,
Magician's Force,,Common,Anti-Spell,,Trap,,,,,,,,,,
Light of Destruction,,Super Rare,Vanquishing Light,,Trap,,,,,,,,,,
Spell Ruler,,Short Print,Gaia Power,,Spell,,,,,,,,,,
Stardust Overdrive,,Ultra Rare,Earthbound Immortal Uru,,Monster,DARK,Insect / Effect,10,3000 / 3000,,,,,,
Judgment of the Light,,Common,Fishborg Archer,,Monster,WATER,Fish / Tuner / Effect,3,300 / 300,,,,,,
Cybernetic Horizon,,Ultra Rare,Danger! Zone,,Trap,,,,,,,,,,
Extreme Victory,,Common,Psychic Reactor,,Trap,,,,,,,,,,
Legacy of the Valiant,,Common,Ghostrick Mummy,,Monster,DARK,Zombie / Effect,3,1500 / 0,,,,,,
Invasion: Vengeance,,Rare,Burnout,,Trap,,,,,,,,,,
The Duelist Genesis,,Common,Fish Depth Charge,,Trap,,,,,,,,,,
Chaos Impact,,Super Rare,Primineral Kongreat,,Monster,EARTH,Rock / Effect,8,3000 / 2000,,,,,,
Duelist Alliance,,Common,Satellarknight Unukalhai,,Monster,LIGHT,Warrior / Effect,4,1800 / 1000,,,,,,
Dark Neostorm,,Rare,Muddy Mudragon,,Monster,DARK,Dragon / Synchro / Effect,6,500 / 2200,,,,,,
Return of the Duelist,,Common,Heroic Challenger - War Hammer,,Monster,EARTH,Warrior / Effect,6,2100 / 1300,,,,,,
Circuit Break,,Super Rare,Link Bumper,,Monster,EARTH,Cyberse / Link / Effect,,,,,,,,
Raging Battle,,Common,Attack of the Cornered Rat,,Trap,,,,,,,,,,
Soul Fusion,,Common,Diana the Light Spirit,,Monster,LIGHT,Thunder / Effect,4,1700 / 1000,,,,,,
Spell Ruler,,Rare,Karate Man,,Monster,EARTH,Warrior / Effect,3,1000 / 1000,,,,,,
Raging Battle,,Short Print,Bone Temple Block,,Trap,,,,,,,,,,
Ignition Assault,,Common,Doshin @Ignister,,Monster,EARTH,Cyberse / Effect,1,100 / 800,,,,,,
Legacy of Darkness,,Rare,Lesser Fiend,,Monster,DARK,Fiend / Effect,5,2100 / 1000,,,,,,
Ancient Sanctuary,,Common,Arcane Archer of the Forest,,Monster,EARTH,Warrior / Effect,3,900 / 1400,,,,,,
Legendary Duelists: Synchro Storm,,Rare,Lyrilusc - Beryl Canary,,Monster,WIND,Winged Beast / Effect,1,0 / 200,,,,,,
Maximum Crisis ,,Ultra Rare,"Ignis Heat, the True Dracowarrior",,Monster,FIRE,Wyrm / Effect,5,2400 / 1000,,,,,,
Maximum Gold,,Premium Gold Rare,Cyber Dragon Infinity,,Monster,LIGHT,Machine / Xyz / Effect,,2100 / 1600,6,,,,,
Flames of Destruction,,Common,Shaddoll Construct,,Monster,LIGHT,Fairy / Link / Effect,,,,,,,,
Force of the Breaker,,Rare,Gravekeeper's Commandant,,Monster,EARTH,Spellcaster / Effect,4,1600 / 1500,,,,,,
Shining Victories,,Secret Rare,Blue-Eyes Twin Burst Dragon,,Monster,LIGHT,Dragon / Fusion / Effect,10,3000 / 2500,,,,,,
Extreme Force,,Common,Recovery Sorcerer,,Monster,LIGHT,Cyberse / Link / Effect,,,,,,,,
Dark Neostorm,,Rare,Chaos Betrayer,,Monster,DARK,Fiend / Effect,6,2000 / 2000,,,,,,
Shining Victories,,Common,Fortissimo,,Spell,,,,,,,,,,
Flaming Eternity,,Common,Centrifugal Field,,Spell,,,,,,,,,,
Return of the Duelist,,Super Rare,Illusory Snatcher,,Monster,DARK,Fiend / Effect,7,2400 / 1000,,,,,,
Extreme Victory,,Super Rare,Shien's Dojo,,Spell,,,,,,,,,,
Primal Origin,,Common,Artifact Failnaught,,Monster,LIGHT,Fairy / Effect,5,2000 / 1600,,,,,,
Starstrike Blast,,Common,Medallion of the Ice Barrier,,Spell,,,,,,,,,,
Maximum Gold,,Rare,Storming Mirror Force,,Trap,,,,,,,,,,
Extreme Victory,,Rare,T.G. Striker,,Monster,EARTH,Warrior / Tuner / Effect,2,800 / 0,,,,,,
Dark Crisis,,Common,Despair from the Dark,,Monster,DARK,Zombie / Effect,8,2800 / 3000,,,,,,
Lord of the Tachyon Galaxy,,Rare,Do a Barrel Roll,,Trap,,,,,,,,,,
Metal Raiders,,Short Print,Rainbow Flower,,Monster,EARTH,Plant / Effect,2,400 / 500,,,,,,
Battle of Chaos,,Common,Branded Disciple,,Spell,,,,,,,,,,
Return of the Duelist,,Super Rare,Chronomaly Crystal Chrononaut,,Monster,LIGHT,Psychic / Xyz / Effect,,2100 / 1000,3,,,,,
Shadow of Infinity,,Common,Super Junior Confrontation,,Trap,,,,,,,,,,
Secrets of Eternity,,Secret Rare,"Malacoda, Netherlord of the Burning Abyss",,Monster,DARK,Fiend / Ritual / Effect,6,2700 / 2200,,,,,,
Breakers of Shadow,,Common,Hi-Speed Re-Level,,Spell,,,,,,,,,,
Shadow Specters,,Ultra Rare,Vampire Sorcerer,,Monster,DARK,Zombie / Effect,4,1500 / 1500,,,,,,
Magician's Force,,Rare,Big Bang Shot,,Spell,,,,,,,,,,
Secrets of Eternity,,Super Rare,Good & Evil in the Burning Abyss,,Spell,,,,,,,,,,
Breakers of Shadow,,Ultra Rare,Enlightenment Paladin,,Monster,DARK,Spellcaster / Synchro / Effect,8,2500 / 2000,,,,,,
Pharaoh's Servant,,Common,Spikebot,,Monster,DARK,Machine,5,1800 / 1700,,,,,,
Tactical Evolution,,Common,"Renge, Gatekeeper of Dark World",,Monster,DARK,Fiend,4,100 / 2100,,,,,,
Gladiator's Assault,,Rare,Expressroid,,Monster,EARTH,Machine / Effect,4,400 / 1600,,,,,,
Clash of Rebellions,,Rare,Igknight Lancer,,Monster,FIRE,Warrior / Effect,7,2600 / 1800,,,,,,
Cybernetic Horizon,,Ultra Rare,Danger! Chupacabra!,,Monster,DARK,Fiend / Effect,4,1500 / 400,,,,,,
Power of the Duelist,,Rare,Spell Calling,,Spell,,,,,,,,,,
Raging Battle,,Rare,Morphtronic Remoten,,Monster,EARTH,Machine / Tuner,3,300 / 1200,,,,,,
Rising Rampage,,Rare,Vic Viper T301,,Monster,LIGHT,Machine / Effect,4,1200 / 800,,,,,,
Crossed Souls,,Common,U.A. Dreadnought Dunker,,Monster,EARTH,Warrior / Effect,7,2500 / 1800,,,,,,
Cosmo Blazer,,Common,Fire Formation - Tenki,,Spell,,,,,,,,,,
Crossroads of Chaos,,Secret Rare,Overdrive Teleporter,,Monster,LIGHT,Psychic / Effect,6,2100 / 1200,,,,,,
Invasion: Vengeance,,Super Rare,Crystron Quan,,Monster,WATER,Machine / Tuner / Effect,1,500 / 500,,,,,,
Rising Rampage,,Ultra Rare,Spirit Sculptor,,Monster,LIGHT,Fairy / Effect,4,1600 / 2100,,,,,,
Savage Strike,,Common,Shiranui Swordmaster,,Monster,FIRE,Zombie / Effect,2,600 / 0,,,,,,
Crossroads of Chaos,,Common,Morphtronic Cameran,,Monster,LIGHT,Machine / Effect,2,800 / 600,,,,,,
Cybernetic Horizon,,Common,Ballista Squad,,Trap,,,,,,,,,,
Abyss Rising,,Rare,Mermail Abyssgunde,,Monster,WATER,Aqua / Effect,3,1400 / 800,,,,,,
Eternity Code,,Super Rare,"Eria the Water Charmer, Gentle",,Monster,WATER,Spellcaster / Link / Effect,,,,,,,,
Rise of the Duelist,,Super Rare,Gaia the Magical Knight of Dragons,,Monster,WIND,Dragon / Fusion / Effect,7,2600 / 2100,,,,,,
Strike of Neos,,Rare,Neo-Spacian Grand Mole,,Monster,EARTH,Rock / Effect,3,900 / 300,,,,,,
Light of Destruction,,Super Rare,Divine Knight Ishzark,Holy Knight Ishzark,Monster,LIGHT,Warrior / Effect,6,2300 / 1800,,,,,,
Crimson Crisis,,Common,Prevention Star,,Spell,,,,,,,,,,
Eternity Code,,Super Rare,Invoked Augoeides,,Monster,LIGHT,Fairy / Fusion / Effect,8,2000 / 2800,,,,,,
Blazing Vortex,,Common,Springans Blast!,,Trap,,,,,,,,,,
Duelist Revolution,,Common,Stronghold Guardian,,Monster,EARTH,Warrior / Effect,4,0 / 1500,,,,,,
Circuit Break,,Secret Rare,Fuse Line,,Trap,,,,,,,,,,
Gladiator's Assault,,Common,Test Ape,,Monster,EARTH,Beast / Effect,2,700 / 300,,,,,,
Dimension Force,,Ultra Rare,Libromancer Displaced,,Trap,,,,,,,,,,
Savage Strike,,Common,Squirt Squid,,Monster,WATER,Aqua / Effect,2,0 / 1800,,,,,,
Ancient Prophecy,,Rare,Falchionβ,,Monster,LIGHT,Machine / Effect,4,1200 / 800,,,,,,
Gladiator's Assault,,Common,Foolish Revival,,Trap,,,,,,,,,,
Metal Raiders,,Common,Tainted Wisdom,,Monster,DARK,Fiend / Effect,3,1250 / 800,,,,,,
The Duelist Genesis,,Super Rare,Gladiator Beast War Chariot,,Trap,,,,,,,,,,
Flames of Destruction,,Common,Altergeist Emulatelf,,Trap,,,,,,,,,,
Legend of Blue Eyes White Dragon,,Common,Umi,,Spell,,,,,,,,,,
Phantom Darkness,,Common,Gladiator Proving Ground,,Spell,,,,,,,,,,
Ancient Prophecy,,Rare,Arcana Knight Joker,"Arkana Knight Joker 
Alkana Knight Joker",Monster,LIGHT,Warrior / Fusion / Effect,9,3800 / 2500,,,,,,
Ancient Sanctuary,,Common,White Magician Pikeru,,Monster,LIGHT,Spellcaster / Effect,2,1200 / 0,,,,,,
Phantom Rage,,Common,Magical Broker,,Monster,DARK,Spellcaster / Effect,3,1500 / 200,,,,,,
Rise of the Duelist,,Super Rare,Dragonmaid Tidying,,Trap,,,,,,,,,,
Ignition Assault,,Rare,Bururu @Ignister,,Monster,WIND,Cyberse / Tuner / Effect,3,600 / 1000,,,,,,
Dimension of Chaos,,Super Rare,Evening Twilight Knight,,Monster,DARK,Warrior / Effect,4,500 / 2000,,,,,,
Rise of Destiny,,Common,Ballista of Rampart Smashing,,Spell,,,,,,,,,,
Lightning Overdrive,,Common,World Soul - Carbon,,Monster,EARTH,Fairy / Effect,4,1200 / 1200,,,,,,
Cosmo Blazer,,Common,Zerozerock,,Spell,,,,,,,,,,
Dawn of Majesty,,Common,Beast King Unleashed,,Trap,,,,,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Plunder Patrollship Lys,,Monster,LIGHT,Fiend / Fusion / Effect,8,2000 / 2000,,,,,,
Code of the Duelist,,Common,Launcher Commander,,Monster,EARTH,Cyberse / Effect,4,1700 / 1200,,,,,,
Dawn of Majesty,,Common,D.D.D. - Different Dimension Derby,,Trap,,,,,,,,,,
Absolute Powerforce,,Secret Rare,Core Transport Unit,,Spell,,,,,,,,,,
Tactical Evolution,,Common,Dark Effigy,,Monster,DARK,Fiend / Effect,4,1500 / 0,,,,,,
Enemy of Justice,,Common,D - Shield,,Trap,,,,,,,,,,
Phantom Darkness,,Super Rare,Dark Eruption,,Spell,,,,,,,,,,
Ancient Sanctuary,,Common,Gogiga Gagagigo,,Monster,WATER,Reptile,8,2950 / 2800,,,,,,
Shadow Specters,,Super Rare,Dragard,,Monster,DARK,Dragon / Effect,4,1300 / 1900,,,,,,
Dimension of Chaos,,Common,Performage Plushfire,,Monster,FIRE,Spellcaster / Pendulum / Effect,4,1000 / 1000,,,,,,
Starstrike Blast,,Common,Wattkeeper,,Trap,,,,,,,,,,
Spell Ruler,,Ultra Rare,Snatch Steal,,Spell,,,,,,,,,,
Ignition Assault,,Secret Rare,Achichi @Ignister,,Monster,FIRE,Cyberse / Effect,2,800 / 800,,,,,,
Cybernetic Horizon,,Super Rare,World Legacy Survivor,,Spell,,,,,,,,,,
Rise of the Duelist,,Common,Darklord Nergal,,Monster,DARK,Fairy / Effect,8,2700 / 2500,,,,,,
Ancient Sanctuary,,Short Print,Opti-Camouflage Armor,,Spell,,,,,,,,,,
Rising Rampage,,Common,World Legacy Bestowal,,Trap,,,,,,,,,,
Storm of Ragnarok,,Rare,Tanngnjostr of the Nordic Beasts,,Monster,EARTH,Beast / Effect,3,800 / 1100,,,,,,
Lord of the Tachyon Galaxy,,Common,Xyz Block,,Trap,,,,,,,,,,
Chaos Impact,,Common,The World Legacy,,Spell,,,,,,,,,,
Return of the Duelist,,Super Rare,Rebound,,Trap,,,,,,,,,,
The Dark Illusion,,Common,Heavy Freight Train Derricrane,,Monster,EARTH,Machine / Effect,10,2800 / 2000,,,,,,
Stardust Overdrive,,Common,Swap Frog,,Monster,WATER,Aqua / Effect,2,1000 / 500,,,,,,
Starstrike Blast,,Super Rare,Power Breaker,,Monster,EARTH,Warrior / Effect,4,1900 / 0,,,,,,
Soul of the Duelist,,Super Rare,Mobius the Frost Monarch,,Monster,WATER,Aqua / Effect,6,2400 / 1000,,,,,,
Order of Chaos,,Common,Dark Mambele,,Spell,,,,,,,,,,
Invasion of Chaos,,Common,"Begone, Knave!",,Trap,,,,,,,,,,
Pharaoh's Servant,,Common,Burning Land,,Spell,,,,,,,,,,
Shining Victories,,Common,Lunalight Purple Butterfly,,Monster,DARK,Beast-Warrior / Effect,3,1000 / 1000,,,,,,
